surface	layer	owner_or_symbol	primary_consumers	lock	planned_action	preparation_status
match-comma	parser-loop	src/frontend/parser/xparse_match.c	match and catch parsing	LOCK-FRONTEND	require comma between adjacent arms with focused recovery	optional comma confirmed
match-comma	formatter	src/frontend/format/xfmt_expr.c:fmt_match_arm_head,fmt_match_expr	whole-corpus migration	LOCK-FRONTEND	emit canonical trailing comma for multiline arms	current omission confirmed
match-comma	spec-source	spec/source/sections/005-4-statements.md,020-appendix-a-ebnf.md	generated language docs and MCP	LOCK-BUILD-GEN	converge with section 004 mandatory-comma claim	current spec disagreement confirmed
property	ast	src/frontend/parser/xast_types.h:AST_INTERFACE_PROPERTY	xast_nodes_decl.h,xast.c,xast_api.h,xast_walk.c	LOCK-FRONTEND	delete interface-property AST and accessor-only flags	legacy owner confirmed
property	parser	src/frontend/parser/xparse_oop.c:xr_parse_property_accessors	class,struct,interface declarations	LOCK-FRONTEND	migrate to explicit methods then delete accessor/interface paths	legacy owner confirmed
property	synthetic-name	src/shared/xr_accessor_name.h	parser,runtime,AOT,fastpaths	LOCK-RUNTIME	delete get:/set: identity owner after consumer migration	legacy owner confirmed
property	selection	src/frontend/analyzer/xa_selection.h:XA_SEL_PROPERTY	xanalyzer_visitor_expr.c,xanalyzer_visitor.c,xi_lower_expr.c	LOCK-FRONTEND	delete field-or-call selection and use ordinary field or method facts	legacy owner confirmed
property	interface-symbol	src/frontend/analyzer/xanalyzer_visitor_decl.c:AST_INTERFACE_PROPERTY	interface conformance and synthetic get: requirement	LOCK-FRONTEND	replace property requirements with exact method symbols and delete synthetic conformance	legacy consumer confirmed
property	mono-flags	src/frontend/analyzer/xanalyzer_mono.c:is_getter,is_setter	monomorphized method and interface-property AST copies	LOCK-FRONTEND	delete accessor-only clone flags and interface-property cases	legacy consumer confirmed
property	runtime-table	src/runtime/class/xclass.h:XrAccessorEntry	xclass_builder_finalize.c,xclass.c,VM lookup	LOCK-RUNTIME	delete getter/setter entries and lookup tables	legacy owner confirmed
property	vm-fallback	src/vm/xvm_props.c,xvm_dispatch_object.inc.c	object field dispatch	LOCK-RUNTIME	delete accessor fallback while retaining ordinary field/module dynamic behavior	legacy owner confirmed
property	aot-fallback	src/aot/xi_cgen_class_native_helpers.inc.c	generated C property access	LOCK-RUNTIME	delete get:%s/set:%s bridges	legacy owner confirmed
property	aot-getter-adapter	src/aot/xi_cgen.c:cg_native_receiver_getter_field_needs_boxed_adapter	AOT reachability and LOAD_FIELD getter resolution	LOCK-RUNTIME	delete getter-field adapter selection after explicit-method migration	legacy consumer confirmed
property	native-registration	src/runtime/object/xnative_type.c,xnative_type.h	coro native getter arrays and Range accessors	LOCK-RUNTIME	migrate or delete accessor registrations without deleting ordinary native methods	16 native getters inventoried
property	fastpath	tools/stdlibgen/generate_vm_fastpaths.py,src/stdlib/xstdlib_vm_fastpath.c	hosted VM fastpaths	LOCK-BUILD-GEN	remove accessor-specific recognition after source migration	consumer confirmed
property	formatter-lsp	src/frontend/format/xfmt_decl.c,src/app/lsp/xlsp_semantic_tokens.c	format and semantic tokens	LOCK-FRONTEND	delete accessor reconstruction and interface-property walk	legacy consumer confirmed
property	production-source	stdlib/datetime/datetime.xr,stdlib/http/http.xr,stdlib/sys/sys.xr	DateTime,CookieJar,Process APIs	LOCK-FRONTEND	migrate 14 computed getters to explicit methods after Task 284	production migration confirmed
property	spec-source	spec/source/sections/006-5-declarations.md,020-appendix-a-ebnf.md	generated language docs and MCP	LOCK-BUILD-GEN	remove computed/interface property grammar and regenerate	projection boundary confirmed
all	root-registration	CMakeLists.txt	tests,generators,generated targets	LOCK-BUILD-GEN	one writer registers final gates only after authorization	protected hotspot confirmed
all	contract-anchors	contracts/program-semantic-closure.md,effect-semantics.md,target-abi.md,typed-target-plan-execution.md,rc-contract.md,runtime-target-plan-load.md	contract_freeze	LOCK-SCHEMA	read impact now; refresh affected anchors only in authorized public cut	impact inventory only
all	completion-residue	scripts/check_surface_drift.py and governed baselines	terminal-zero evidence	LOCK-RESIDUE	report candidates now; change classification only with lock	protected hotspot confirmed
